trip_id,start_time,end_time,headway_secs
983D0V,7:23:00,22:05:00,834
983D0V,22:05:00,22:50:00,2700
983D0V,22:50:00,23:55:00,3900
983D0V,23:55:00,25:00:00,3900
983D1I,7:35:00,8:00:00,1500
983D1I,8:00:00,22:05:00,1102
983D1I,22:05:00,22:40:00,2100
983D1I,22:40:00,23:20:00,2400
983D1I,23:20:00,24:25:00,3900
983D1I,24:25:00,25:30:00,3900
983D1I,25:30:00,26:30:00,3600
983D1V,7:00:00,7:25:00,1500
983D1V,7:25:00,22:05:00,1118
983D1V,22:05:00,22:50:00,2700
983D1V,22:50:00,23:55:00,3900
983D1V,23:55:00,25:00:00,3900
983D1V,25:00:00,26:05:00,3900
1022D2I,7:00:00,7:51:00,3060
1022D2I,7:51:00,19:56:00,946
1022D2I,19:56:00,22:10:00,731
1022D2I,22:10:00,23:10:00,1800
1022D2I,23:10:00,25:30:00,2100
1022D2V,6:30:00,7:35:00,3900
1022D2V,7:35:00,19:19:00,918
1022D2V,19:19:00,19:41:00,1320
1022D2V,19:41:00,19:52:00,330
1022D2V,19:52:00,20:14:00,1320
1022D2V,20:14:00,20:25:00,660
1022D2V,20:25:00,22:05:00,750
1022D2V,22:05:00,22:40:00,2100
1022D2V,22:40:00,25:00:00,2100
1022D0I,6:05:00,6:30:00,1500
1022D0I,6:30:00,7:19:00,980
1022D0I,7:19:00,19:37:00,466
1022D0I,19:37:00,19:44:00,840
1022D0I,19:44:00,19:51:00,420
1022D0I,19:51:00,21:32:00,505
1022D0I,21:32:00,22:35:00,945
1022D0I,22:35:00,23:10:00,2100
1022D0I,23:10:00,25:30:00,2100
1022D0V,5:35:00,6:00:00,1500
1022D0V,6:00:00,6:35:00,700
1022D0V,6:35:00,6:51:00,960
1022D0V,6:51:00,6:59:00,480
1022D0V,6:59:00,7:14:00,900
1022D0V,7:14:00,7:21:00,840
1022D0V,7:21:00,7:28:00,420
1022D0V,7:28:00,7:52:00,720
1022D0V,7:52:00,8:00:00,960
1022D0V,8:00:00,8:08:00,480
1022D0V,8:08:00,8:24:00,960
1022D0V,8:24:00,8:32:00,960
1022D0V,8:32:00,8:40:00,480
1022D0V,8:40:00,19:34:00,467
1022D0V,19:34:00,19:43:00,1020
1022D0V,19:43:00,19:52:00,540
1022D0V,19:52:00,21:40:00,589
1022D0V,21:40:00,22:40:00,1200
1022D0V,22:40:00,23:15:00,2100
1022D0V,23:15:00,25:00:00,2100
1022D1I,6:05:00,7:10:00,3900
1022D1I,7:10:00,8:16:00,1980
1022D1I,8:16:00,23:05:00,821
1022D1I,23:05:00,27:00:00,2000
1022D1V,5:35:00,6:37:00,3720
1022D1V,6:37:00,7:44:00,2010
1022D1V,7:44:00,9:21:00,970
1022D1V,9:21:00,9:33:00,1500
1022D1V,9:33:00,9:46:00,780
1022D1V,9:46:00,23:10:00,832
1022D1V,23:10:00,27:00:00,1950
1045D0I,6:30:00,7:00:00,1800
1045D0I,7:00:00,21:45:00,880
1045D0I,21:45:00,22:25:00,2400
1045D0V,6:35:00,7:00:00,1500
1045D0V,7:00:00,17:31:00,806
1045D0V,17:31:00,21:50:00,1110
1045D0V,21:50:00,22:20:00,1800
930D2I,7:35:00,8:03:00,1680
930D2I,8:03:00,8:36:00,990
930D2I,8:36:00,22:50:00,826
930D2I,22:50:00,23:30:00,1200
930D2I,23:30:00,24:10:00,2400
930D2I,24:10:00,24:50:00,2400
